Name,Location,URL,datetime,lon,lat,genre,pay,about,pornlevel
work exchange for living at beach house in Maui,humboldt,http://humboldt.craigslist.org/lbg/5818053951.html,2016-10-07T15:44:45-0700,20.879834,-156.683001,labor,Unknown,Aloha We are A Tortise and bird refuge off the beach on Maui.      We are Looking for a grounds keeper who knows growing ie veggies powertools hedges building animal care etc....      Absolutely need NOW ready to start now!!      Also need another person first wk Nov. To start... deep cleaning daily customer service checking in guests animal care etc      This is a work for trade volunteer position in exchange for housing....hours 7 to noon 5 days a week      Accommodations are a shared clean staff bedrm with 1 or 2 additional staff members also private staff huge bathrm      We go in on food alot but you take care of your own incidentals bathrm etc.      This is a 3 month minimum committment longer if we all love eachother. We have big birds and over 72 animals needing care and love.      If you are interested in being a part of our Ohana we would need the following please.      **a national police background check**      **references from work and living **      **copy of passport or drivers license**      ***$500.00 refundable deposit upon checkin this is to assure committment is followed nothing dies.***      This is a unique position so if interested get in touch. We always need help. Aloha                     ,0
Casting now for HAWAII locations !,chico,http://chico.craigslist.org/tlg/5846500124.html,2016-10-25T18:20:47-0700,21.3908,-157.9332,talent,negotiable,Currently now casting attractive young females 18 yrs and up ONLY ! for well paid adult modeling shoots / videos. Few to no tattoos. Looking for fresh new amateur faces previous modeling work helpful not necessary.       Currently auditioning for HAWAII locations ! Serious applicants only ! Please text email glamour photos to     show contact info   ..Thanks !       James   FantasiaCasting    ,1
Casting now for HAWAII locations !,humboldt,http://humboldt.craigslist.org/tlg/5846508328.html,2016-10-25T18:28:43-0700,21.3908,-157.9332,talent,negotiable,Currently now casting attractive female talents models 18 yrs and up ONLY ! for adult WELL PAID modeling photo / video productions. Few to no tattoos. Looking for fresh faces previous modeling helpful but not necessary       Currently auditioning for HAWAII locations ! Serious applicants only ! Please text email glamour photos to     show contact info   ..Thanks !       James   FantasiaCasting    ,0
Casting now for HAWAII locations,merced,http://merced.craigslist.org/tlg/5845077106.html,2016-10-24T22:54:32-0700,21.3908,-157.9332,talent,negotiable,Currently now casting attractive females 18 yrs and up ONLY ! for adult themed photo / video productions. Few to no tattoos. Looking for fresh new amateur faces previous modeling experience helpful but not necessary. Make up to $ 1000 / shoot 1       Casting now for HAWAII locations ! Serious applicants only. Please text email glamour photos to     show contact info   ..Thanks !       James   FantasiaCasting    ,1
Casting now for HAWAII locations !,merced,http://merced.craigslist.org/tlg/5843283643.html,2016-10-23T20:28:34-0700,21.3908,-157.9332,talent,negotiable,Currently now casting cute preppy young females 18 and up ONLY !  for adult themed photo / video productions. Few to no tattoos. Looking for fresh new amateur faces previous modeling work helpful not necessary. Make up to $ 1000/ shoot.       Currently now casting for HAWAII locations ! Serious applicants only. Please text email glamour shots to     show contact info   ..Thanks !       james   FantasiaCasting    ,1
Casting now for HAWAII locations !,merced,http://merced.craigslist.org/tlg/5843263649.html,2016-10-23T20:02:52-0700,21.3908,-157.9332,talent,negotiable,Currently now casting for cute preppy attractive females 18 yrs and up ONLY ! for well paid adult theme modeling shoots / videos. Few to no tattoos. Looking for fresh new faces amateurs previous modeling work helpful not necessary.  Make up to $ 1000 / shoot !       Currently auditioning for HAWAII location shoots ! Serious applicants only. Please text email glamour shots to     show contact info   ..Thanks !       James   FantasiaCasting    ,1
Casting now for HAWAII  !,monterey,http://monterey.craigslist.org/tlg/5849762846.html,2016-10-27T19:27:15-0700,21.3908,-157.9332,talent,negotiable,Currently now casting attractive young females 18 and up ONLY !  for WELL PAID adult themed photo video productions. Few to no tattoos. Looking for fresh new amateur faces previous modeling experience helpful but not required.       Now casting for HAWAII locations shoot. Serious applicants only. Please text email glamour photo shots to     show contact info   ..Thanks !       James   Fantasiacasting      ,1
Casting now for HAWAII !,redding,http://redding.craigslist.org/tlg/5849771845.html,2016-10-27T19:37:36-0700,21.3908,-157.9332,talent,negotiable,Currently now casting young attractive females 18 yrs ONLY ! and up for WELL PAID adult themed photo video productions. Few to no tattoos. Looking for fresh new faces previous modeling experience helpful but not necessary.       Casting now for beautiful HAWAII locations! Serious applicants only. Please text email glamour photos to     show contact info   ..Thanks !       James   FantasiaCasting    ,0
I need a baby sitter,bakersfield,http://bakersfield.craigslist.org/dmg/5831119362.html,2016-10-16T07:15:40-0700,28.2639,-99.2802,domestic,400,I need a baby sitter and errand at your own convenience time We prefer someone who can come to our home but can possibly work something else out. You must have experience with baby-sitting/childcare. We are Christians and prefer finding a babysitter who is honest. Also we are having to schedule things around to work this out so please to not commit to this unless you know for sure you can be available .      I need your service 3 days in week.       Kindly text me and make sure you text me with your direct email address for more details .    ,0
Virtual Support Techs $13 - $37 an hr,visalia,http://visalia.craigslist.org/cpg/5809765857.html,2016-10-02T13:17:17-0700,29.7858,-95.8244,computer,based on qualification,Looking for candidates ages 18 - 52 or older that are willing to learn can work without supervision driven goal oriented friendly and reliable.    ,0
