Name,Location,URL,datetime,lon,lat,genre,pay,about
VENDORS FOR WINTER 2017 FASHION SHOW EVENT,asheville,http://asheville.craigslist.org/evg/5845256868.html,2016-10-25T08:50:42-0400,35.807200,-78.887000,event,Unknown,Pulcher's Art & Design is hosting next year's most dazzling Winter 2017 Fashion Show Event featuring local national and international fashion designers and models. We are currently in the process of organizing the Winter 2017 Fashion Show and we are looking for vendors to sell the following products and/or services:      • Beauty Products   • Jewelry   • Accessories   • Clothing   • AND MUCH MORE..      Please visit us online at http://pulchersartanddesign.com/fashion-show/vendors-for-winter-2017-fashion-show/    
Woodworking Piecework,asheville,http://asheville.craigslist.org/lbg/5830781496.html,2016-10-15T23:04:29-0400,35.590190,-82.631935,labor,$12 per hour based on piecework,Important: This is independent contractor work. Pay is based on what you produce. Payment is due 30 days after the product is shipped to our customer. You must invoice for what you produce. You must have and wear safety glasses and personal air filter (respirator) for sanding and cutting wood.   Now the fun stuff...   Help Make Wooden Toys and Preschool Supplies!   Pay is based on $12/hr broken into tasks. A repetitive 15 second tasks is worth 5 cents per task. (20 cents/minute = $12/hr)   Pay for a competent focused individual will be higher.      Indoor Jobs: Small Blocks Cutting and Sanding   We need two detail-oriented people to make wooden blocks from milled stock and kiln-dried branches. Consistency and accuracy are important. Drama free personality. Love of working with wood and toys required. Pricing varies per piece based on amount of work and the accuracy required with miter saw and/or stationary belt sander.   Outdoor Jobs: Cedar Stools   We need two people to make cedar log stools using chainsaws angle grinders and orbital sanders. See our other listing.   Important: Please read and respect these requirements:   This is Independent Contractor Piecework.   Part-time or full-time. (We need full-time help.)   Flexible schedule as long as you show up when you schedule yourself.   Weekday schedule and/or weekend schedule and/or evening schedule are options.   We'd love to have you work full-time if you are available and able to work efficiently and accurately.   Projects vary week to week.   Net 30 terms. Payment is due 30 days after we complete ship and bill each order.   You are responsible for tracking your production communicating your numbers and submitting your invoices regularly.   You must meet the following requirements:   Valid non-restricted Driver's License.   Working cell phone.   Reliable transportation.   Physical Stamina.   Physical Strength.   Able to do repetitive tasks.   Able to stand while working.   Able to work well with others.   Able to show up on time when you schedule yourself.   Able to self-motivate.   Able to use Power Tools safely (with instruction as needed).   Able to ask for directions when needed to avoid mistakes and waste.   Able to meet agreed upon weekly production targets.   Good eyesight. Corrected okay.   Attention to detail and quality.   Able to track work needed and completed.   Able to clean as you go and not leave a mess. Clean up is included in the piece rate.   No drugs. No alcohol. No smoking. No weapons. No drama.   Must wash and dry hands before work and regularly while working and keep toys clean.   Solve problems. Be easy to work with.   Experience joy working with wood.   If interested please send me a message introducing yourself. Please include tools mentioned above that you are comfortable using. EOE. LGBTI-friendly.   Tips: If you email to ask if the position is still available or similar generic question I'll think you're a spammer and won't respond. Spelling really does matter. You get extra points for reading this far. 
Hendersonville Lawn,asheville,http://asheville.craigslist.org/lbg/5851491366.html,2016-10-29T03:08:47-0400,35.346400,-82.525000,labor,looking for quotes,I have a lawn in north Hendersonville that is in need of a mowing/weed clearing. I fell behind on it at the end of the summer and it is too overgrown for my mower. The area I need done does not have a fence but will need something heavy duty to cut tall/thick grass. Roughly half an acre.      E-mail if interested and estimated cost.   
New Models Ladies,asheville,http://asheville.craigslist.org/tlg/5847881452.html,2016-10-26T18:08:21-0400,35.539300,-82.518000,talent,cash paid,New ladies ready for a change  be fit  attractive easy scheduling for great photo sets open to 18 and up  photos with return contact info please. This will pay immediate cash.    
BRAND AMBASSADORS FOR BEER FEST!,asheville,http://asheville.craigslist.org/evg/5851016464.html,2016-10-28T17:57:05-0400,35.597100,-82.556500,event,$20/hr,We are a nationwide event staffing firm that has a Beer Festival Promotion in Asheville. Below are the event details:      Event Dates/Times:    11/5 3:00pm-8:00pm   Event Location: Asheville NC   Event Rate: $20/hour   Event Attire: Jeans Clean Sneakers Shirt Provided   Job Description: We are in the process of hiring some outgoing and energetic brand ambassadors for a beer fest promotion handing out special giveaways interacting with event visitors and making sure everyone has a great experience!   How to Apply: Please email a current photo recent work experience availability and phone number and we will call you to add you to the team. Thanks!    
Wash windows?,asheville,http://asheville.craigslist.org/lbg/5850757009.html,2016-10-28T15:21:47-0400,35.598600,-82.290200,labor,What do you charge?,We need our house windows cleaned...inside and out.  Some are pretty high so you need a tall ladder.   In Black Mountain.    
Haul away yard debris,asheville,http://asheville.craigslist.org/lbg/5850685410.html,2016-10-28T14:42:12-0400,35.598600,-82.290200,labor,please let us know how much you would charge.,We need someone to haul away yard debris (mostly branches).  It's at least a trailer full.  As soon as possible.    
Property Preservation Field Rep-Grass/Debris/Lock Changes,asheville,http://asheville.craigslist.org/lbg/5810856116.html,2016-10-03T12:04:15-0400,35.669151,-81.906853,labor,1099 per agreement,We are looking for preservation/lawn maintenance crews that can meet deadlines and communicate well.      Looking for vendors who have knowledge of Grass cuts lock changes window board ups to HUD specs debris removals trash outs etc.       All work is deadline driven. We have steady work for the right vendor who can complete these tasks within deadline and properly.      All work is to be photo documented through our uploading program.      Please reply to the email attached to this posting with experience and relevant information for more details.    
Property Preservation Field Rep-Grass/Debris/Lock Changes,asheville,http://asheville.craigslist.org/lbg/5805044815.html,2016-09-29T13:49:47-0400,35.637151,-83.092004,labor,pricing matrix provided upon receipt of vendor packet,We are looking for preservation crew lawn maintenance crews and inspectors/QC       Looking for vendors who have knowledge of lock changes window board ups to HUD specs debris removals roof tarps winterizations sales cleans pool covering etc. Lawn Maintenance work is also required on many of our properties including trimming shrubbery trees and removing vines.      We have steady work for the right vendor who can complete these tasks properly within deadlines.      All work is to be photo documented through our uploading software to include before during and after photos.      Please reply to the respective email attached to this posting with experience telephone number and relevant information for more detail    
Computer assistance with online course development,asheville,http://asheville.craigslist.org/cpg/5850512103.html,2016-10-28T13:12:03-0400,35.595763,-82.552128,computer,$15.00 / hr,I am a language professional looking for assistance designing an online course in Spanish with various tasks including designing PowerPoints making changes to existing Learning Management Systems and drafting graphics and assessments to use in the course. I have parts of the course completed and need an assistant who can help turn my drafts into computer images.      Preferred experience:   Microsoft Office Google Drive LMS   Basic understanding of Spanish language      Compensation:   $15/hr will expect 5-10 hours per week of work    
