Name,Location,URL,datetime,lon,lat,genre,pay,about
$600 Weekly,charleston,http://charleston.craigslist.org/lbg/5852351114.html,2016-10-29T16:18:50-0400,32.779500,-79.937100,labor,$600 Weekly,Do you need a job that's going to be fetching you $600 weekly?     Then text Mr. James at     show contact info   for more information about the job.       You can reach me by text only    
Install Phone Jack,charleston,http://charleston.craigslist.org/lbg/5852166659.html,2016-10-29T14:25:37-0400,32.993000,-80.125700,labor,Give me your best price,Need someone to install a phone jack. Pls text only to    show contact info   Darrell    
Real Estate Team Seeks Interns,charleston,http://charleston.craigslist.org/crg/5806866348.html,2016-09-30T15:57:35-0400,32.847300,-79.820600,creative,TBD,We are a successful full service real estate team serving the entire Charleston area! We are looking to hire and train a select group of interns. If you are looking to build a career in real estate or learn more about the industry then this is for you. Please email for more details.   
Concession help,charleston,http://charleston.craigslist.org/lbg/5851990722.html,2016-10-29T12:47:46-0400,32.993000,-80.125700,labor,$8 an hour,Looking for helper for a stand. Nights and weekends. Most be clean cut professionable and timely. Please email or text photo preffered. Looking for help ASAP.    
Need Mini Split AC Installed,charleston,http://charleston.craigslist.org/lbg/5851983929.html,2016-10-29T12:44:02-0400,32.799300,-80.006000,labor,cash,Hi I bought a mini split AC offline and didnt realize it needed to have the lines vacuumed -  I will have the unit in place electrical already run just need someone to hook up the copper lines (torque wrench needed) and then vacuum the system etc.  If you have the tools and experience and want this little job please let me know what you would charge.  On another note... I had someone run the lines through the wall (behind the drywall) which evidently after reading the manual this is not the way this is done.  the only way I think these copper lines can be salvaged is if they are fitted with some angled connectors and flanged etc.  If you have this knowledge and tools that could work if not I was going to have to order another set of copper lines and run them the correct way and just forever seal these other lines up in the walls...    thanks!    
person to help with yard work and projects around the house,charleston,http://charleston.craigslist.org/lbg/5852000213.html,2016-10-29T12:52:50-0400,33.009527,-80.194745,labor,$10 + per hour  more for a good worker,Gay couple looking for someone to help with work around the house and yard 1 or 2 days a week   You done have to be gay/bi just open minded  and this is not for sex just looking for someone were comfortable working with   pref fit and your welcome to work with out a shirt:)   were fit in our 40's white have lots of work and want a helper to do some of the hard stuff   pay is by the hour $10 could be more for a reliable guy   reply with some info  times you can work past work etc  a face pic would be nice   Thanks    
Concession helper,charleston,http://charleston.craigslist.org/evg/5851981938.html,2016-10-29T12:42:58-0400,32.993000,-80.125700,event,$8 an hour,Looking for helper for a stand. Nights and weekend.Most be clean cut professionable and timely. Please email or text photo preffered. Looking for ASAP.    
New items added: Installation of faucets and sinks needed,charleston,http://charleston.craigslist.org/lbg/5851954429.html,2016-10-29T12:27:31-0400,32.993000,-80.125700,labor,The job will go to the person with the best skills that offers the best price!!!,Hello   I've changed the Ad a bit just to ad several items that need to be done as well. Please send me your quotes asap as the faucets and sinks have been ordered and should be here by Nov 3rd. I'd like the work done sometime between Nov 4th and Nov 7th in the mornings while the kiddos are at school. Please send me your quote (including labor and materials)...Here is what needs to be done:      How much would you charge (labor and materials) to do the following:      -Install 3 sinks (2 bathroom 1kitchen)---all drop in sinks   -Install 3 faucets(2bathroom 1kitchen)---bathroom f. has pop up drains   -Install 50-60ft of white quarter round---to go into 3rms (kitchen laundry room and foyer)      Please let me know if you are unable to 1 or 2 of these things and set your price accordingly...I'm accepting all quotes starting now. I will get back to the person/persons that I choose no later than Nov 2nd. I will only contact the person that is chosen for the job...Thanks!      
Licensed Contractor needed for roof repair must be able to pull permit,charleston,http://charleston.craigslist.org/lbg/5848426557.html,2016-10-27T06:58:00-0400,32.935200,-80.032500,labor,Contract job,Looking for a Contractor who can pull a permit for roof repair ..all materials are supplied.  Job consist of storm damaged roof    Replacement of shingles and plywood 6 trusses and some soffit repair. While job should take col days.  Job is just outside charleston.    
Need house cleaned out,charleston,http://charleston.craigslist.org/lbg/5851641666.html,2016-10-29T08:59:24-0400,33.028000,-80.173900,labor,based on what is done,I need to have a house cleaned out by Tuesday morning.  I need someone that has a truck and trailer and able to haul loads to the dump.  Could definitely lead to more jobs like this if it works out.    
NEED A LABEL  AND MANAGEMENT RAPPERS AND SINGERS WANTED,charleston,http://charleston.craigslist.org/tlg/5834112597.html,2016-10-18T08:06:25-0400,40.797500,-73.968300,talent,Unknown,Hip hop label need singers and rappers you need help to get to the next level then email your stage name cell number and a song you like to drop and we will email back if we like to work with you    
Advertise Ads For Us,charleston,http://charleston.craigslist.org/cpg/5851318562.html,2016-10-28T22:16:31-0400,32.848800,-79.857700,computer,See Details,Currently looking to hire a few online web sponsors to advertise classified ads for various products      and services Experience is preferred but not required If you are looking for a way to supplement extra      income then this maybe a right fit for you         Ads will be required to be posted within certain subcategories across Cglt and for other classified ad      sites at a later time Payment is every Friday minus holidays via is at $0.50 per each live posted ad      that isn't removed for at least 48 hours         Typically you can expect to be posting anywhere between 100 to 500+ ads a week of which 100 of      them will be sent to you Other guidelines will be sent to you after you are initially accepted as one of      our sponsors. In order to get started please send in a newly created g mail address with password         And also a newly registered Cglt account and password which you will register with the newly      created g mail address You will need to create and post an ad in order for Cglt to send you a      confirmation email for you to then verify the cg list account with your phone number You can make      up anything for the ad or title         After you have created both a confirmed and phone verified Cglt account along with a g mail account      linked together with the Cglt account. Please send in both user names and passwords for the Cglt and      g mail account We will need access to both accounts for updating and reviewing ads. And for      handling inquiries which you are not required to do at this time    
One Day Moving Job,charleston,http://charleston.craigslist.org/lbg/5851334101.html,2016-10-28T22:34:47-0400,32.799300,-80.006000,labor,40 a person,This is an easy moving job.    The major items are a bed bed frame and dresser.   Other items are just boxes.       Job will only take an hour and a half.    I need two people.   Person must have their own truck or hauler.    Person must be able to lift heavy items.      I will pay 40 a person to help me move.    I'm looking for someone ASAP.       Please text me at eightfourthreetwoninefivesixseventhreethree    
FOOT MODELS WANTED: SIZES 7-11,charleston,http://charleston.craigslist.org/tlg/5844528604.html,2016-10-24T17:27:21-0400,33.028000,-80.173900,talent,MAKE UP TO $150 OR MORE EASY MONEY,Make easy money! Attractive guy in search of women with nice feet. There are no requirements just have alright feet with freshly painted toenails (NO TOENAILS THAT ARE TO SHORT). Serious ladies only apply by sending one pic of your feet.    
WOMEN NEAR MOUNT PLEASANT NEEDING MONEY,charleston,http://charleston.craigslist.org/dmg/5832371363.html,2016-10-17T07:19:32-0400,32.867400,-79.804900,domestic,50 TO 100,I am looking for a nice woman in Mount Pleasant who would like to give me a massage or just hang out. I will compensate well. Red heads move to the front of the line. I am just missing talking to a nice woman after work at night. Send me your picture it does not have to be a naked one. Send me your number also please. Maybe do a movie or a dinner and drinks on the water who knows. Your choice.    
