Name,Location,URL,datetime,lon,lat,genre,pay,about,pornpoints,pornpercent,pornlevel
Virtual Support Techs $13 - $20 an hr,pullman,http://pullman.craigslist.org/cpg/5786720714.html,2016-09-17T17:12:35-0700,29.211798,-97.083437,computer,based on qualification,Looking for candidates ages 23 - 62 or older that are willing to learn can work without supervision driven goal oriented friendly and reliable.    ,0,0.0,0
Experienced Appliance Repair Technician Needed ASAP!,salem,http://salem.craigslist.org/lbg/5850736498.html,2016-10-28T12:10:20-0700,30.3125,-95.4527,labor,90%,Need an experienced appliance repair technician for ongoing jobs in Salem area.  Must have 10+ years experience tools and vehicle.      Please call Kevin     show contact info         ,0,0.0,0
Maintenance ^^Assisitan,roseburg,http://roseburg.craigslist.org/lbg/5833393998.html,2016-10-17T14:10:14-0700,33.3889,-112.0954,labor,Discussed at interview,An assisted living facility in Falls Church Virginia is looking for an experienced Maintenance Assistant to work full time duties will include but not limited to Electrical Plumbing HVAC Drywall Painting Carpentry Apartment Turn-over Laundry Cleaning and other tasks as outlined.   The position is full-time with benefits and great pay. You must have reliable transportation as the job may require different hours to work. You will be required to pass a criminal background check and drug test to be eligible to accept the position. This is a hands on position and will require to work as a team or sometimes be on your own and some weekend work will be required. Please call to setup an appointment and interview. This is an immediate hire. EOE.    ,0,0.0,0
Payroll Clerk Needed,corvallis,http://corvallis.craigslist.org/lbg/5811576959.html,2016-10-03T15:28:20-0700,34.0112,-85.2459,labor,900.00 MONTHLY p.PART TIME,We have a opening in our company in which you will be in charge of printing checks and dispatch it to my client and staff  VIA USPS drop off boxes and you will be geting paid $900 Monthly so let me know if you are interested text back    214-462-572   Note YOU MUST HAVE COMPUTER PRINTER AND SCANNER    ,0,0.0,0
Looking for Outdoor Survivalists 18-24,eastoregon,http://eastoregon.craigslist.org/tlg/5844215191.html,2016-10-24T11:40:29-0700,34.0245,-118.1975,talent,Large cash prize!!!,ATTENTION ALL FIERCELY COMPETITIVE SURVIVAL ENTHUSIASTS -- A NEW SERIES FOR MTV is LOOKING FOR YOU!      Survival enthusiasts between the ages of 18 -- 24: Do you have what it takes to survive 6 weeks in the middle of nowhere for a cash prize? Are you an all-purpose survival expert and/or do you have a specialized skill such as tri-athlete experience plant expertise primitive shelter building or fire making nursing rock climbing or hunting that would contribute to a group of diverse young people working together to survive?      A new series is seeking extroverted survivalists who are between the ages of 18 and 24 to apply now for the survival adventure of a lifetime with cash prize. We are looking for energetic charismatic individuals with opinions as strong as their survival skills and the confidence to back it up. Diversity of race gender sexual orientation and economic situations strongly welcomed and encouraged.      To apply please email us with your name telephone number age a photo and a short paragraph detailing your personality and survival experiences.             ,5,0.00442477876106,1
$~ Grocery Delivery Work - Up to $35ph,portland,http://portland.craigslist.org/wsc/dmg/5844152774.html,2016-10-24T11:09:51-0700,34.0522,-118.2437,domestic,Up to $35ph,"Looking to work on your own terms? We connect you with people in your community who need help with grocery delivery.       Work your own hours and meet interesting people. Up to $35 per hour.      Get Started Immediately!      To start Visit ""GroceryBuddi[dot]com""    ",0,0.0,0
Virtual Support Techs $19 - $20 an hr,wenatchee,http://wenatchee.craigslist.org/cpg/5812156435.html,2016-10-04T04:44:53-0700,34.6615,-96.7745,computer,based on qualification,Looking for candidates ages 19 - 57 or older that are willing to learn can work without supervision driven goal oriented friendly and reliable.    ,0,0.0,0
Virtual Support Techs $19 - $39 an hr,lewiston,http://missoula.craigslist.org/cpg/5851864458.html,2016-10-29T09:36:56-0600,37.1716,-87.0559,computer,based on qualification,Looking for candidates ages 23 - 56 or older that are willing to learn can work without supervision driven goal oriented friendly and reliable.    ,0,0.0,0
$$%% Yard Clean-Up Needed %%$$,klamath,http://klamath.craigslist.org/lbg/5844060675.html,2016-10-24T10:24:49-0700,38.4689,-121.344,labor,HOURLY PAY $32,Hi I need someone to work a few hours today. My regular guy didn't show up. After today the job would be every Friday. I pay $32.00 an hour. Cash. i'm looking for someone who's good at organizing and keeping the yard and garage clean. Washing windows. Bringing in trash cans and washing them after trash pick up etc. please call if your interested.    ,0,0.0,0
@@@ Looking for Cleaner @@@,medford,http://medford.craigslist.org/lbg/5839964754.html,2016-10-21T14:20:33-0700,38.4826,-121.4006,labor,12.00 +_  hr to start cash,I have two buildings that need to be cleaned every week on Monday Wed Fri 3 days a week Pay is cash $ 12.00 +_  hr.  to start. I pay you once a week. After 90 days we can discuss more money. Must have exp in commercial cleaning.Looking to hire asap. Please send resume. Thanks    ,0,0.0,0
